iter	RMSE
0	1.012021801
1	0.9983894515
2	0.9858710629
3	0.9715442903
4	0.9571797532
5	0.9462564225
6	0.9323542869
7	0.9206973064
8	0.9053593221
9	0.8943752014
10	0.8830654509
11	0.8735604092
12	0.8627184472
13	0.8509449657
14	0.8368829793
15	0.8255267072
16	0.8160848987
17	0.8059421117
18	0.7938504335
19	0.7836996722
20	0.7740458129
21	0.7647346068
22	0.7548311311
23	0.7478058884
24	0.7391195486
25	0.7314594043
26	0.7228792492
27	0.7130661252
28	0.7034795887
29	0.6922818829
30	0.6834078196
31	0.6799589107
32	0.6721853612
33	0.6636618322
34	0.656535991
35	0.6480525256
36	0.638824211
37	0.6298182957
38	0.6226468709
39	0.6168854001
40	0.6099196322
41	0.6029679308
42	0.5971997018
43	0.5921697124
44	0.5859729701
45	0.5804472025
46	0.5745156179
47	0.5693457187
48	0.5639364513
49	0.5566910931
50	0.5488496338
51	0.54216326
52	0.5372594283
53	0.5318418198
54	0.525904119
55	0.5203555806
56	0.5137438499
57	0.5088226792
58	0.5032566582
59	0.4990574028
60	0.4935448466
61	0.4868964369
62	0.4808153602
63	0.4763805542
64	0.4708070231
65	0.4634980808
66	0.4576218443
67	0.4529628582
68	0.4475638295
69	0.4435464121
70	0.4379553753
71	0.4342330724
72	0.4281472163
73	0.4234211958
74	0.4186101902
75	0.4135281719
76	0.410404013
77	0.4061142588
78	0.4018477026
79	0.3983676297
