iter	Passed	Remaining
0	4	363
1	8	327
2	12	315
3	15	303
4	19	297
5	23	292
6	31	333
7	38	347
8	44	349
9	49	347
10	54	339
11	58	333
12	63	327
13	66	313
14	69	301
15	73	292
16	75	281
17	79	273
18	82	263
19	85	257
20	90	253
21	93	247
22	96	239
23	105	245
24	112	247
25	117	243
26	122	240
27	127	235
28	131	231
29	134	224
30	136	216
31	138	207
32	140	200
33	143	193
34	146	188
35	150	183
36	154	179
37	158	174
38	161	170
39	166	166
40	168	160
41	171	155
42	173	149
43	177	145
44	181	141
45	186	137
46	188	132
47	190	126
48	193	122
49	195	117
50	199	113
51	203	109
52	205	104
53	209	101
54	213	97
55	217	93
56	221	89
57	225	85
58	230	81
59	233	77
60	236	73
61	238	69
62	242	65
63	246	61
64	248	57
65	250	53
66	252	49
67	256	45
68	260	41
69	262	37
70	265	33
71	268	29
72	272	26
73	276	22
74	279	18
75	282	14
76	286	11
77	290	7
78	294	3
79	296	0
